Record_ID,Timestamp,Farm,Region,Crop,Crop_Stage,Sensor_ID,Temperature_C,Humidity_pct,Soil_Moisture_pct,Rain_Probability_pct,Soil_pH,Water_Tank_pct,Leaf_Health_pct,AI_Risk,AI_Decision,Irrigation_Minutes,Estimated_Water_Liters,Estimated_Energy_kWh,Notification_Required
AGR-0001,2026-08-01 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-001,35.5,60.0,39.8,53.3,6.52,87.1,92.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0002,2026-08-01 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-002,36.8,55.1,36.3,18.2,6.44,84.0,73.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0003,2026-08-01 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-003,24.4,79.3,36.4,56.4,6.28,72.4,97.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0004,2026-08-01 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-004,31.9,68.7,26.4,31.9,6.64,68.4,93.5,MEDIUM,MONITOR,13.0,1560.0,1.43,NO
AGR-0005,2026-08-01 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-005,30.0,70.0,30.0,69.3,6.6,63.8,95.3,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0006,2026-08-01 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-006,26.9,79.7,33.7,32.2,6.67,66.0,92.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0007,2026-08-01 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-007,32.4,65.1,29.7,25.3,6.44,62.2,93.4,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0008,2026-08-01 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-008,24.2,85.9,39.7,48.8,6.81,57.1,95.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0009,2026-08-02 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-009,28.8,72.2,37.6,58.6,6.43,47.3,87.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0010,2026-08-02 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-010,27.0,83.7,42.2,55.5,6.95,44.4,89.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0011,2026-08-02 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-011,34.8,73.2,37.0,68.5,5.68,41.3,89.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0012,2026-08-02 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-012,31.5,69.6,27.9,37.8,6.72,38.9,89.9,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
